LastName	FirstName	DatasetID	Dataset	SpeciesName	AccSpeciesID	AccSpeciesName	ObservationID	ObsDataID	TraitID	TraitName	DataID	DataName	OriglName	OrigValueStr	OrigUnitStr	ValueKindName	OrigUncertaintyStr	UncertaintyName	Replicates	StdValue	UnitName	RelUncertaintyPercent	OrigObsDataID	ErrorRisk	Reference	Comment	StdValueStr	
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801093	4675833			834	Sample ID (Accession ID)	Set_in_Workbook	223											unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801093	4675834			323	Atmospheric CO2 concentration during measurement (Ca)	ca	38	ppm										unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801093	4675835	49	Photosynthesis: intercellular CO2 concentration	58	Intercellular CO2 concentration (ci)	ci	55	ppm	Single				55	ppm			7.52684	unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801093	4675837			322	Temperature during measurement	leaf temperature	27.9	C										unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801094	4675838			561	Measurement series ID	Measurement series ID	38											unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801094	4675839			834	Sample ID (Accession ID)	Set_in_Workbook	224											unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801094	4675840			323	Atmospheric CO2 concentration during measurement (Ca)	ca	38	ppm										unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801094	4675841	49	Photosynthesis: intercellular CO2 concentration	58	Intercellular CO2 concentration (ci)	ci	44	ppm	Single				44	ppm		4675821	8.79161	unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801094	4675843			322	Temperature during measurement	leaf temperature	26.1	C										unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801125	4676008			561	Measurement series ID	Measurement series ID	69											unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801125	4676009			834	Sample ID (Accession ID)	Set_in_Workbook	318											unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801125	4676010			323	Atmospheric CO2 concentration during measurement (Ca)	ca	28	ppm										unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801125	4676011	49	Photosynthesis: intercellular CO2 concentration	58	Intercellular CO2 concentration (ci)	ci	38	ppm	Single				38	ppm		4675809	9.63677	unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801125	4676013			322	Temperature during measurement	leaf temperature	28.8	C										unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801126	4676014			561	Measurement series ID	Measurement series ID	70											unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801126	4676015			834	Sample ID (Accession ID)	Set_in_Workbook	319											unpub.			
